Skin,mkoverlay_time
Arcade Corki,1.142
Astronaut Corki,0.579
Brick Toy Corki,0.573
Corgi Corki,0.587
Dragonwing Corki,0.562
Fnatic Corki,0.577
Hot Rod Corki,0.585
Ice Toboggan Corki,0.582
Red Baron Corki,0.566
UFO Corki,0.607
Urfrider Corki,0.562
