Champion,Skin_Count,Speedup_2_to_3,Performance_Degradation_%,Total_Time_2_Threads_s,Total_Time_3_Threads_s,Time_Saved_s,Avg_Skin_Time_2_Threads_s,Avg_Skin_Time_3_Threads_s,Recommendation
Lissandra,8,1.25,-9.8,7.18,5.73,+1.45,0.759,0.685,RECOMMEND 3 threads
Miss Fortune,22,1.25,-0.8,16.64,13.33,+3.31,0.755,0.749,RECOMMEND 3 threads
Nasus,13,1.25,-5.4,10.81,8.62,+2.19,0.771,0.729,RECOMMEND 3 threads
Qiyana,9,1.25,-7.7,8.65,6.91,+1.74,0.762,0.703,RECOMMEND 3 threads
Renata Glasc,5,1.25,-3.2,4.75,3.78,+0.97,0.685,0.663,RECOMMEND 3 threads
Senna,10,1.25,-8.9,9.63,7.68,+1.95,0.833,0.759,RECOMMEND 3 threads
Sion,10,1.25,-0.1,7.94,6.34,+1.60,0.659,0.659,RECOMMEND 3 threads
Draven,13,1.24,-5.1,9.11,7.37,+1.74,0.635,0.602,RECOMMEND 3 threads
Vi,13,1.24,-3.8,9.46,7.61,+1.85,0.653,0.628,RECOMMEND 3 threads
Annie,17,1.23,-3.5,11.46,9.32,+2.14,0.648,0.625,RECOMMEND 3 threads
Ashe,19,1.23,-7.0,14.53,11.83,+2.70,0.699,0.650,RECOMMEND 3 threads
Evelynn,16,1.23,-5.0,12.57,10.22,+2.35,0.770,0.732,RECOMMEND 3 threads
Gangplank,12,1.23,+2.1,9.03,7.36,+1.67,0.682,0.696,RECOMMEND 3 threads
Hecarim,12,1.23,-3.8,9.48,7.70,+1.78,0.719,0.691,RECOMMEND 3 threads
Heimerdinger,9,1.23,-3.4,7.06,5.74,+1.32,0.707,0.683,RECOMMEND 3 threads
Kassadin,9,1.23,-3.3,7.04,5.70,+1.34,0.681,0.658,RECOMMEND 3 threads
Katarina,18,1.23,-1.1,14.67,11.89,+2.78,0.728,0.720,RECOMMEND 3 threads
Master Yi,17,1.23,-5.0,14.10,11.42,+2.68,0.753,0.715,RECOMMEND 3 threads
