Skin,mkoverlay_time
Arcanist Shaco,8.500
Asylum Shaco,3.673
Cat-in-the-Box Shaco,3.869
Crime City Nightmare Shaco,3.863
Dark Star Shaco,3.823
Fright Night Shaco,3.776
Mad Hatter Shaco,3.928
Masked Shaco,3.966
Nutcracko,3.796
Prestige Soul Fighter Shaco,4.020
Royal Shaco,3.525
Soul Fighter Shaco,3.633
Wild Card Shaco,3.811
Winterblessed Shaco,3.846
Workshop Shaco,4.031
